L_actual,L_predicted,W_actual,W_predicted,F_actual,F_predicted,S11_actual,S11_predicted
16.64,16.299515606026034,25.86,26.502839345906978,4.07,4.115521758403247,-34.46379351,-31.247050481586484
17.04,15.791897565764884,25.86,24.29447635934048,4.01,4.142430777204481,-41.05175946,-30.37982593473862
17.44,17.552028313233677,25.86,26.49412692496844,3.94,3.987569349957539,-34.87274672,-30.04243925269111
17.84,18.129308689471145,25.86,26.31952269161411,3.86,3.8969219807563604,-31.2943029,-30.410447989444947
18.24,18.491634138421432,25.86,26.279928180461866,3.79,3.7265432553117535,-30.17997431,-29.892616583238123
18.64,18.64043520258383,25.86,26.304057417684817,3.72,3.6308403551461197,-27.64941442,-29.212278969906038
19.04,19.02444983829446,25.86,26.64254219814029,3.65,3.4773405255632497,-26.92248115,-28.223487762588775
19.44,19.303300071214835,25.86,26.69573202067113,3.59,3.4139565315649634,-25.5097956,-27.229645810759393
19.84,19.68457468491215,25.86,27.877429526954074,3.52,3.4745075344849283,-23.64443825,-25.533436309866374
20.24,20.23150261177034,25.86,28.273526530436357,3.46,3.4515914768794573,-23.05033166,-24.310757244675187
20.64,20.834119977398586,25.86,29.00048562507436,3.4,3.48174113183768,-22.40123216,-22.969109072204446
21.04,21.366519421628254,25.86,28.984626117933658,3.35,3.4713655025784647,-22.25389529,-23.19384880477446
21.44,20.86088536164425,25.86,26.08581868892361,3.26,3.313276120397404,-5.809599295,-15.269776697823545
21.84,21.726978176242483,25.86,26.841579413463478,3.19,3.2106674967085382,-5.62127689,-10.439734440267785
22.24,22.34041964117023,25.86,26.738046531289,3.13,3.137109776698253,-5.504070531,-7.779278324189363
22.64,22.791290190432846,25.86,25.754347081601736,3.08,3.0741808662874064,-5.422273702,-7.402125460183015
23.04,23.231559484322133,25.86,26.27164966725104,3.02,3.037541752609741,-5.381321547,-5.013163411495043
23.44,23.607152217648036,25.86,25.858539825378102,2.97,2.9709676245051924,-5.320224166,-4.711714243952883
23.84,23.94372522944286,25.86,25.809647654838045,2.92,2.9452746215770276,-5.3004577,-4.413744473393308
24.24,24.2906787956872,25.86,25.93371931843285,2.87,2.9161691287822578,-5.276875095,-4.231828831689199
24.64,24.58150790812033,25.86,25.64947491879866,2.83,2.9182921437181903,-5.276084956,-4.518336989771342
25.04,24.971818563657507,25.86,25.92562201032706,2.78,2.8909226247938022,-5.245478704,-4.541075968329096
25.44,25.329085084433245,25.86,25.906741079481435,2.74,2.914581431368333,-5.249463745,-4.5822299663268495
25.84,25.745109856017734,25.86,25.8927294001478,2.7,2.961444628033405,-5.264137798,-4.877030788309639
26.24,26.18169907382071,25.86,25.459172355316696,2.66,2.971234778991402,-5.242303292,-5.953752641362371
16.24,16.81806259296536,26.26,26.276290059977327,4.16,4.054451896199225,-28.80178003,-28.86557583764079
16.64,16.829139244769976,26.26,25.817881934301113,4.09,4.097193737231919,-30.36011322,-29.38956536873593
17.04,16.784079296920027,26.26,26.399130228281138,4.0,4.085862538829588,-35.19569427,-30.864147702319315
17.44,17.500528839123945,26.26,26.252408824235317,3.93,3.9283871766906486,-58.26307211,-30.880636576999677
17.84,18.222209177152763,26.26,27.195971858411212,3.86,3.853701865396488,-35.79290155,-30.774216434074333
